player_id,player_name,team_name,minutes,goals,assists,key_passes,shots,xg,xg_per_90
3240,Mathew Ryan,Australia,387.0,0,0,0,0,0.0,0.0
3247,Fábio Henrique Tavares,Brazil,100.0,0,0,0,0,0.0,0.0
3300,Maya Yoshida,Japan,416.0,0,0,0,0,0.0,0.0
3306,Nathan Aké,Netherlands,513.0,0,0,0,0,0.0,0.0
3468,Jordan Pickford,England,486.0,0,0,0,0,0.0,0.0
3488,Wayne Hennessey,Wales,200.0,0,0,0,0,0.0,0.0
3509,Thibaut Courtois,Belgium,284.0,0,0,0,0,0.0,0.0
3543,Steve Mandanda,France,103.0,0,0,0,0,0.0,0.0
3616,Callum Wilson,England,65.0,0,1,2,0,0.0,0.0
3658,DeAndre Yedlin,United States,48.0,0,0,0,0,0.0,0.0
3664,Trent Alexander-Arnold,England,37.0,0,0,0,0,0.0,0.0
3675,Fodé Ballo Touré,Senegal,10.0,0,0,0,0,0.0,0.0
3684,Cheikhou Kouyaté,Senegal,71.0,0,0,1,0,0.0,0.0
3709,Daniel Amartey,Ghana,301.0,0,0,3,0,0.0,0.0
3815,Kasper Schmeichel,Denmark,291.0,0,0,0,0,0.0,0.0
3943,Declan Rice,England,450.0,0,0,1,0,0.0,0.0
3957,César Azpilicueta Tanco,Spain,143.0,0,1,3,0,0.0,0.0
4272,João Mário Naval da Costa Eduardo,Portugal,94.0,0,0,0,0,0.0,0.0
4614,Antonee Robinson,United States,386.0,0,0,3,0,0.0,0.0
4626,Jan Bednarek,Poland,13.0,0,0,0,0,0.0,0.0
4664,Sebastian Szymański,Poland,135.0,0,0,0,0,0.0,0.0
4685,Artur Jędrzejczyk,Poland,24.0,0,0,0,0,0.0,0.0
4706,Kalvin Phillips,England,50.0,0,1,0,0,0.0,0.0
4767,Chris Mepham,Wales,297.0,0,0,2,0,0.0,0.0
4774,Connor Roberts,Wales,216.0,0,0,1,0,0.0,0.0
5178,Salman Mohammed Al Faraj,Saudi Arabia,47.0,0,0,0,0,0.0,0.0
5183,Yasir Gharsan Al Shahrani,Saudi Arabia,99.0,0,0,0,0,0.0,0.0
5188,Hattan Babhir,Saudi Arabia,13.0,0,1,0,0,0.0,0.0
5199,Jorge Resurrección Merodio,Spain,65.0,0,0,0,0,0.0,0.0
5218,André Miguel Valente Silva,Portugal,32.0,0,0,2,0,0.0,0.0
5227,Alireza Safar Beiranvand,Iran,119.0,0,0,0,0,0.0,0.0
5228,Seyed Majid Hosseini,Iran,305.0,0,0,0,0,0.0,0.0
5233,Munir Mohand Mohamedi,Morocco,95.0,0,0,0,0,0.0,0.0
5248,José Martín Cáceres Silva,Uruguay,98.0,0,0,0,0,0.0,0.0
5264,Guillermo Varela Olivera,Uruguay,211.0,0,0,1,0,0.0,0.0
5476,Benjamin Pavard,France,89.0,0,0,0,0,0.0,0.0
5484,Lucas Hernández Pi,France,96.0,0,0,0,0,0.0,0.0
5527,Thomas Delaney,Denmark,46.0,0,0,0,0,0.0,0.0
